Year,Semester,CouseCode, CourseName,TotalStudents,StudentsTaken,Rate
2002, 1, ECE20016, 자바프로그래밍언어, 54, 9, 16.7%
2003, 1, ECE20016, 자바프로그래밍언어, 54, 15, 27.8%
2004, 1, ECE20016, 자바프로그래밍언어, 54, 30, 55.6%
